date,ML,Low_90,High_90,Low_50,High_50
2020-04-28,1.0,0.9,1.09,0.9400000000000001,1.02
2020-04-29,1.01,0.9,1.09,0.9500000000000001,1.03
2020-04-30,1.01,0.91,1.1,0.9500000000000001,1.03
2020-05-01,1.01,0.91,1.1,0.96,1.04
2020-05-02,1.02,0.91,1.1,0.96,1.04
2020-05-03,1.01,0.91,1.1,0.96,1.04
2020-05-04,1.01,0.91,1.1,0.9500000000000001,1.03
2020-05-05,1.01,0.9,1.09,0.9500000000000001,1.03
2020-05-06,1.0,0.9,1.09,0.9400000000000001,1.02
2020-05-07,1.0,0.89,1.08,0.9400000000000001,1.02
2020-05-08,0.99,0.89,1.08,0.93,1.01
2020-05-09,0.99,0.88,1.07,0.93,1.01
2020-05-10,0.99,0.88,1.07,0.93,1.01
2020-05-11,0.99,0.89,1.08,0.93,1.01
2020-05-12,1.0,0.89,1.08,0.9400000000000001,1.02
2020-05-13,1.0,0.89,1.08,0.9400000000000001,1.02
2020-05-14,1.0,0.89,1.08,0.9400000000000001,1.02
2020-05-15,1.0,0.9,1.09,0.9400000000000001,1.02
2020-05-16,1.0,0.9,1.09,0.9500000000000001,1.03
2020-05-17,1.0,0.9,1.09,0.9500000000000001,1.03
2020-05-18,1.01,0.9,1.09,0.9500000000000001,1.03
2020-05-19,1.01,0.9,1.09,0.9500000000000001,1.03
2020-05-20,1.01,0.9,1.09,0.9500000000000001,1.03
2020-05-21,1.01,0.9,1.09,0.9500000000000001,1.03
2020-05-22,1.01,0.9,1.09,0.9500000000000001,1.03
2020-05-23,1.01,0.9,1.09,0.9500000000000001,1.03
2020-05-24,1.0,0.9,1.09,0.9500000000000001,1.03
2020-05-25,1.0,0.9,1.09,0.9400000000000001,1.02
2020-05-26,1.0,0.89,1.08,0.9400000000000001,1.02
2020-05-27,1.0,0.89,1.08,0.9400000000000001,1.02
2020-05-28,1.0,0.89,1.08,0.9400000000000001,1.02
2020-05-29,1.0,0.89,1.08,0.9400000000000001,1.02
2020-05-30,1.0,0.89,1.08,0.9400000000000001,1.02
2020-05-31,1.0,0.89,1.08,0.9400000000000001,1.02
2020-06-01,1.0,0.89,1.08,0.9400000000000001,1.02
2020-06-02,1.0,0.9,1.09,0.9400000000000001,1.02
2020-06-03,1.01,0.9,1.09,0.9500000000000001,1.03
2020-06-04,1.01,0.9,1.09,0.9500000000000001,1.03
2020-06-05,1.01,0.9,1.09,0.9500000000000001,1.03
2020-06-06,1.01,0.9,1.09,0.9500000000000001,1.03
2020-06-07,1.01,0.9,1.09,0.9500000000000001,1.03
2020-06-08,1.01,0.9,1.09,0.9500000000000001,1.03
2020-06-09,1.01,0.9,1.09,0.9500000000000001,1.03
2020-06-10,1.01,0.9,1.09,0.9500000000000001,1.03
2020-06-11,1.0,0.9,1.09,0.9400000000000001,1.02
2020-06-12,1.0,0.89,1.08,0.9400000000000001,1.02
2020-06-13,1.0,0.89,1.08,0.9400000000000001,1.02
2020-06-14,1.0,0.89,1.08,0.9400000000000001,1.02
2020-06-15,1.0,0.89,1.08,0.9400000000000001,1.02
2020-06-16,1.0,0.89,1.08,0.9400000000000001,1.02
2020-06-17,1.0,0.89,1.08,0.9400000000000001,1.02
2020-06-18,1.0,0.89,1.08,0.9400000000000001,1.02
2020-06-19,1.0,0.89,1.08,0.9400000000000001,1.02
2020-06-20,1.0,0.89,1.08,0.9400000000000001,1.02
2020-06-21,1.0,0.89,1.08,0.9400000000000001,1.02
2020-06-22,1.0,0.89,1.08,0.9400000000000001,1.02
2020-06-23,1.0,0.9,1.09,0.9400000000000001,1.02
2020-06-24,1.0,0.9,1.09,0.9400000000000001,1.02
2020-06-25,1.0,0.89,1.08,0.9400000000000001,1.02
2020-06-26,1.0,0.89,1.08,0.9400000000000001,1.02
2020-06-27,1.0,0.89,1.08,0.9400000000000001,1.02
2020-06-28,1.0,0.89,1.08,0.9400000000000001,1.02
2020-06-29,1.0,0.89,1.08,0.9400000000000001,1.02
2020-06-30,1.0,0.89,1.08,0.9400000000000001,1.02
2020-07-01,1.0,0.89,1.08,0.9400000000000001,1.02
2020-07-02,1.0,0.89,1.08,0.9400000000000001,1.02
2020-07-03,1.0,0.89,1.08,0.9400000000000001,1.02
2020-07-04,1.0,0.89,1.08,0.9400000000000001,1.02
2020-07-05,1.0,0.89,1.08,0.9400000000000001,1.02
2020-07-06,1.0,0.89,1.08,0.9400000000000001,1.02
2020-07-07,1.0,0.9,1.09,0.9500000000000001,1.03
2020-07-08,1.01,0.9,1.09,0.9500000000000001,1.03
2020-07-09,1.01,0.91,1.1,0.9500000000000001,1.03
2020-07-10,1.02,0.91,1.1,0.96,1.04
2020-07-11,1.02,0.91,1.1,0.96,1.04
2020-07-12,1.02,0.91,1.1,0.96,1.04
2020-07-13,1.02,0.91,1.1,0.96,1.04
2020-07-14,1.02,0.91,1.1,0.96,1.04
2020-07-15,1.01,0.9,1.09,0.9500000000000001,1.03
2020-07-16,1.01,0.9,1.09,0.9500000000000001,1.03
2020-07-17,1.0,0.89,1.08,0.9400000000000001,1.02
2020-07-18,1.0,0.89,1.08,0.9400000000000001,1.02
2020-07-19,0.99,0.88,1.07,0.93,1.01
2020-07-20,0.99,0.88,1.07,0.93,1.01
2020-07-21,1.0,0.89,1.08,0.93,1.01
2020-07-22,1.0,0.89,1.08,0.9400000000000001,1.02
2020-07-23,1.0,0.89,1.08,0.9400000000000001,1.02
2020-07-24,1.01,0.9,1.09,0.9500000000000001,1.03
2020-07-25,1.01,0.9,1.09,0.9500000000000001,1.03
2020-07-26,1.01,0.91,1.1,0.9500000000000001,1.03
2020-07-27,1.02,0.91,1.1,0.96,1.04
2020-07-28,1.02,0.91,1.1,0.96,1.04
2020-07-29,1.02,0.91,1.1,0.96,1.04
2020-07-30,1.02,0.91,1.1,0.96,1.04
2020-07-31,1.02,0.91,1.1,0.96,1.04
2020-08-01,1.02,0.91,1.1,0.96,1.04
2020-08-02,1.02,0.91,1.1,0.96,1.04
2020-08-03,1.01,0.9,1.09,0.9500000000000001,1.03
2020-08-04,1.01,0.9,1.09,0.9500000000000001,1.03
2020-08-05,1.0,0.89,1.08,0.9400000000000001,1.02
2020-08-06,0.99,0.9,1.08,0.93,1.01
2020-08-07,0.99,0.9,1.08,0.93,1.01
2020-08-08,0.99,0.89,1.07,0.92,1.0
2020-08-09,0.99,0.89,1.07,0.92,1.0
2020-08-10,0.99,0.9,1.08,0.93,1.01
2020-08-11,0.99,0.9,1.08,0.93,1.01
2020-08-12,1.0,0.89,1.08,0.9400000000000001,1.02
2020-08-13,1.0,0.89,1.08,0.9400000000000001,1.02
2020-08-14,1.0,0.89,1.08,0.9400000000000001,1.02
2020-08-15,1.01,0.9,1.09,0.9500000000000001,1.03
2020-08-16,1.01,0.9,1.09,0.9500000000000001,1.03
2020-08-17,1.01,0.9,1.09,0.9500000000000001,1.03
2020-08-18,1.01,0.9,1.09,0.9500000000000001,1.03
2020-08-19,1.0,0.89,1.08,0.9400000000000001,1.02
2020-08-20,1.0,0.89,1.08,0.9400000000000001,1.02
2020-08-21,1.0,0.89,1.08,0.9400000000000001,1.02
2020-08-22,1.0,0.88,1.07,0.93,1.01
2020-08-23,0.99,0.9,1.08,0.93,1.01
2020-08-24,0.99,0.9,1.08,0.93,1.01
2020-08-25,1.0,0.88,1.07,0.93,1.01
2020-08-26,1.0,0.89,1.08,0.9400000000000001,1.02
2020-08-27,1.0,0.89,1.08,0.9400000000000001,1.02
2020-08-28,1.0,0.89,1.08,0.9400000000000001,1.02
2020-08-29,1.01,0.9,1.09,0.9400000000000001,1.02
2020-08-30,1.01,0.9,1.09,0.9400000000000001,1.02
2020-08-31,1.0,0.9,1.09,0.9400000000000001,1.02
2020-09-01,1.0,0.89,1.08,0.9400000000000001,1.02
2020-09-02,1.0,0.89,1.08,0.9400000000000001,1.02
2020-09-03,1.0,0.89,1.08,0.9400000000000001,1.02
2020-09-04,1.0,0.87,1.09,0.9400000000000001,1.03
2020-09-05,1.0,0.88,1.1,0.9400000000000001,1.03
